Rank, name, year, rating, votes, genres, runtime, titleType, link, certificate, plot, image, director, writer, actors, awards, boxOffice, country, language, rottenTomatoes, metacritic

"1", "Breaking Bad", "2008", "9.5", "2671552", "Crime,Drama,Thriller", "48", "tvSeries", "https://www.imdb.com/title/tt0903747/", "TV-MA", "A chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine with a former student to secure his family's future.", "https://m.media-amazon.com/images/M/MV5BOWE4NTc3YmYtNmU2Mi00ZjhkLWE1MTItZmM1M2U1ODU3YjFlXkEyXkFqcGc@._V1_QL75_UY562_CR2,0,380,562_.jpg", "", "Vince Gilligan", "Bryan Cranston, Aaron Paul, Anna Gunn", "Won 16 Primetime Emmys. 172 wins & 269 nominations total", "", "United States", "English, Spanish", "96%", ""
"2", "Steel Ball Run: JoJo's Bizarre Adventure", "2026", "9.5", "27017", "Action,Adventure,Animation", "0", "tvSeries", "https://www.imdb.com/title/tt38268282/", "", "A paraplegic ex-jockey joins forces with an outlaw to compete in the first cross-continental horse race across North America in the 1800s.", "https://m.media-amazon.com/images/M/MV5BZDFmY2JjYmYtNjZhOC00ODJkLTliMjYtM2Y4YzBjMWE0ZGZjXkEyXkFqcGc@._V1_SX300.jpg", "", "", "Damien C. Haas, Kaiji Tang, Daman Mills", "", "", "Japan", "Japanese", "", ""
"3", "The Godfather: A Novel for Television", "1977", "9.5", "6770", "Crime,Drama,Thriller", "109", "tvMiniSeries", "https://www.imdb.com/title/tt0809488/", "", "The Godfather (1972) and The Godfather Part II (1974) were re-edited together in chronological order with additional footage added.", "https://m.media-amazon.com/images/M/MV5BYzY5ZGQyMzktM2Y1Ni00MDhjLWIxMjctNDMyMTA1MjdkYmRkXkEyXkFqcGc@._V1_SX300.jpg", "", "", "Marlon Brando, Al Pacino, Robert Duvall", "", "", "United States", "English, Italian", "", ""
"4", "Band of Brothers", "2001", "9.4", "603323", "Action,Drama,History", "60", "tvMiniSeries", "https://www.imdb.com/title/tt0185906/", "TV-MA", "The story of Easy Company of the U.S. Army 101st Airborne Division and their mission in World War II Europe, from Operation Overlord to V-J Day.", "https://m.media-amazon.com/images/M/MV5BMTQ3NTdmOTEtZTRmMi00NTg5LWI5NmUtYTNiOTc0ZmNkODU0XkEyXkFqcGc@._V1_SX300.jpg", "", "", "Scott Grimes, Damian Lewis, Ron Livingston", "Won 6 Primetime Emmys. 34 wins & 26 nominations total", "", "United Kingdom, United States", "English, German, French, Dutch, Latin, Polish, Spanish", "", ""
"5", "Planet Earth", "2006", "9.4", "236578", "Documentary,Family", "50", "tvMiniSeries", "https://www.imdb.com/title/tt0795176/", "TV-PG", "A documentary series on the wildlife found on Earth. Each episode covers a different habitat: deserts, mountains, deep oceans, shallow seas, forests, caves, polar regions, fresh water, plains and jungles. Narrated by David Attenbo...", "https://m.media-amazon.com/images/M/MV5BY2NjNDUzOTgtMDFmNC00ZGQ4LWE5MDctMzczNGVlOGU1N2MyXkEyXkFqcGc@._V1_SX300.jpg", "", "", "Nikolay Drozdov, Thomas Anguti Johnston, Sanae Ueda", "Won 4 Primetime Emmys. 15 wins & 15 nominations total", "", "United Kingdom, Canada, United States, Japan", "English", "", ""
"6", "Planet Earth II", "2016", "9.4", "176658", "Documentary,Family", "50", "tvMiniSeries", "https://www.imdb.com/title/tt5491994/", "TV-G", "David Attenborough returns with a new wildlife documentary that shows life in a variety of habitats.", "https://m.media-amazon.com/images/M/MV5BMzY4NDBkMWYtYzdkYy00YzBjLWJmODctMWM4YjYzZTdjNWE5XkEyXkFqcGc@._V1_SX300.jpg", "", "", "David Attenborough, Sandesh Kadur, Toby Nowlan", "Won 2 Primetime Emmys. 16 wins & 28 nominations total", "", "United Kingdom, Germany, France, China, United States", "English, French", "", ""
"7", "Chernobyl", "2019", "9.3", "1062354", "Drama,History,Thriller", "60", "tvMiniSeries", "https://www.imdb.com/title/tt7366338/", "TV-MA", "In April 1986, the city of Chernobyl in the Soviet Union suffers one of the worst nuclear disasters in the history of mankind. Consequently, many heroes put their lives on the line in the following days, weeks and months.", "https://m.media-amazon.com/images/M/MV5BNzU0OTI4YTQtNGQ1ZS00ZjA4LTg3MTMtZjkyZWNjN2RiZDJmXkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg", "", "Craig Mazin", "Jared Harris, Jessie Buckley, Stellan Skarsgård", "Won 10 Primetime Emmys. 87 wins & 60 nominations total", "", "United States, United Kingdom", "English, Russian, Ukrainian", "", ""
"8", "Avatar: The Last Airbender", "2005", "9.3", "454758", "Action,Adventure,Animation", "23", "tvSeries", "https://www.imdb.com/title/tt0417299/", "TV-Y7-FV", "In a war-torn world of elemental powers, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.", "https://m.media-amazon.com/images/M/MV5BMDMwMThjYWYtY2Q2OS00OGM2LTlkODQtNDJlZTZmMjAyYmFhXkEyXkFqcGc@._V1_SX300.jpg", "", "Michael Dante DiMartino, Bryan Konietzko", "Dee Bradley Baker, Zach Tyler Eisen, Mae Whitman", "Won 1 Primetime Emmy. 9 wins & 7 nominations total", "", "United States, South Korea", "English", "", ""
"9", "The Wire", "2002", "9.3", "438434", "Crime,Drama,Thriller", "60", "tvSeries", "https://www.imdb.com/title/tt0306414/", "TV-MA", "The Baltimore drug scene, as seen through the eyes of drug dealers and law enforcement.", "https://m.media-amazon.com/images/M/MV5BZWYyNmRhYjktNjBhNC00M2NhLWEzYmMtZDYwNmIyZTRiZWMzXkEyXkFqcGc@._V1_SX300.jpg", "", "David Simon", "Dominic West, Lance Reddick, Sonja Sohn", "Nominated for 2 Primetime Emmys. 18 wins & 59 nominations total", "", "United States", "English, Greek, Mandarin, Spanish", "", ""
