Rank, name, year, rating, votes, genres, runtime, titleType, link, certificate, plot, image, director, writer, actors, awards, boxOffice, country, language, rottenTomatoes, metacritic

"1", "Project Hail Mary", "2026", "8.2", "535721", "Adventure,Comedy,Drama", "156", "movie", "https://www.imdb.com/title/tt12042730/", "PG-13", "A science teacher wakes up alone on a spaceship. As his memory returns, he uncovers a mission to stop a mysterious substance killing Earth's sun, and realizes that an unexpected friendship may be the key.", "https://m.media-amazon.com/images/M/MV5BNTkwNzJiYTctNzI3NC00NjE1LTlhYjktY2Q5MTdmMWFmNzcxXkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg", "Phil Lord, Christopher Miller", "Drew Goddard, Andy Weir", "Ryan Gosling, Sandra Hüller, James Ortiz", "7 wins & 11 nominations total", "$344,050,007", "United States", "English", "95%", "77/100"
"2", "The Odyssey", "2026", "8.4", "475973", "Action,Adventure,Fantasy", "172", "movie", "https://www.imdb.com/title/tt33764258/", "R", "After the Trojan War, Odysseus faces a dangerous voyage back to Ithaca, meeting creatures like the Cyclops Polyphemus, Sirens, and Calypso along the way.", "https://m.media-amazon.com/images/M/MV5BNTcyNmJlZmQtNDUwYy00NDBjLTg1NGQtYTY2Y2UxMWM3NmI1XkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg", "Christopher Nolan", "Christopher Nolan, Homer", "Matt Damon, Tom Holland, Anne Hathaway", "3 wins total", "$588,976,965", "United Kingdom, United States, Canada, New Zealand, Iceland", "English, Greek", "93%", "88/100"
"3", "Spider-Man: Brand New Day", "2026", "8.0", "286129", "Action,Adventure,Sci-Fi", "145", "movie", "https://www.imdb.com/title/tt22084616/", "PG-13", "A forgotten Peter Parker lives alone as a full-time Spider-Man until mounting pressure triggers a dangerous change and a powerful new enemy emerges.", "https://m.media-amazon.com/images/M/MV5BOWNjYWM3NWItOGE0ZS00MWRjLThiZWEtYjc4ZmNmMmU5ZTVmXkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg", "Destin Daniel Cretton", "Chris McKenna, Erik Sommers, Stan Lee", "Tom Holland, Zendaya, Mark Ruffalo", "1 nomination total", "$655,088,528", "United States, Canada, United Kingdom, Germany", "English", "89%", "66/100"
"4", "Backrooms", "2026", "6.8", "192198", "Horror,Sci-Fi,Thriller", "126", "movie", "https://www.imdb.com/title/tt26657236/", "R", "After a therapist's patient disappears into a dimension beyond reality, she must venture into the unknown to save him.", "https://m.media-amazon.com/images/M/MV5BYzQyYjZmMjctMzIyZi00MDI0LWJhNGQtMzQ3MTFlNDgwNGM5XkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg", "Kane Parsons", "Will Soodik, Kane Parsons", "Chiwetel Ejiofor, Renate Reinsve, Mark Duplass", "14 nominations total", "$197,516,045", "United States, Canada", "English, Portuguese, Turkish, Arabic, Japanese", "87%", "76/100"
"5", "Michael", "2026", "7.4", "183418", "Biography,Drama,History", "127", "movie", "https://www.imdb.com/title/tt11378946/", "PG-13", "The early life of musician Michael Jackson, from the discovery of his talent as the lead of the Jackson Five to the artist whose creative ambition fueled a pursuit to become the biggest entertainer in the world.", "https://m.media-amazon.com/images/M/MV5BNzllNmRlN2EtMDQyOC00ODJjLTg4OWQtZDNmNGU3YzlkNjc1XkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg", "Antoine Fuqua", "John Logan", "Jaafar Jackson, Nia Long, Colman Domingo", "7 wins & 5 nominations total", "$371,294,610", "United States, Canada", "English", "38%", "39/100"
"6", "Send Help", "2026", "6.7", "152595", "Adventure,Horror,Thriller", "113", "movie", "https://www.imdb.com/title/tt8036976/", "R", "When an employee and her insufferable boss become stranded on a deserted island, the only survivors of a plane crash, they must overcome past grievances and work together to make it out alive.", "https://m.media-amazon.com/images/M/MV5BOTgxOWY5NTMtYjdiNi00NTIyLTkwMTQtMWNjM2IzYTU0ODgyXkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg", "Sam Raimi", "Damian Shannon, Mark Swift", "Rachel McAdams, Dylan O'Brien, Edyll Ismail", "", "$64,734,795", "United States, Canada, United Kingdom, Australia, Thailand", "English", "92%", "75/100"
"7", "Disclosure Day", "2026", "6.4", "150753", "Action,Drama,Mystery", "145", "movie", "https://www.imdb.com/title/tt15047880/", "PG-13", "If you found out we weren't alone, if someone showed you, proved it to you, would that frighten you?", "https://m.media-amazon.com/images/M/MV5BMTgwNDI1ZjctYWNmMS00MTJhLTg1ZWItMzI1Yjk5NjZkYWFkXkEyXkFqcGc@._V1_QL75_UX380_CR0,20,380,562_.jpg", "Steven Spielberg", "David Koepp, Steven Spielberg", "Emily Blunt, Josh O'Connor, Colin Firth", "3 wins & 7 nominations total", "$116,636,645", "United States, Canada, New Zealand, Japan", "English", "79%", "74/100"
"8", "The Rip", "2026", "6.8", "145458", "Action,Crime,Drama", "113", "movie", "https://www.imdb.com/title/tt32642706/", "R", "A group of Miami cops discovers a stash of millions in cash, leading to distrust as outsiders learn about the huge seizure, making them question who to rely on.", "https://m.media-amazon.com/images/M/MV5BNjIzMGY3MzMtNDVlMS00MGU1LTkyNTItMmI4Mzk0Mjg3OTBkXkEyXkFqcGc@._V1_QL75_UY562_CR35,0,380,562_.jpg", "Joe Carnahan", "Joe Carnahan, Michael McGrale", "Matt Damon, Ben Affleck, Steven Yeun", "", "", "United States", "English", "77%", "63/100"
"9", "28 Years Later: The Bone Temple", "2026", "7.2", "125366", "Horror,Sci-Fi,Thriller", "109", "movie", "https://www.imdb.com/title/tt32141377/", "R", "As Spike is inducted into Jimmy Crystal's gang on the mainland, Dr. Kelson makes a discovery that could alter the world.", "https://m.media-amazon.com/images/M/MV5BZGU2M2Y1YTItMWYxNS00NDYxLThhOTYtNjNhOWUzNjA3MTYwXkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg", "Nia DaCosta", "Alex Garland", "Jack O'Connell, Alfie Williams, Connor Newall", "3 nominations total", "$25,147,583", "United Kingdom, United States, Canada", "English", "91%", "81/100"
"10", "The Drama", "2026", "7.1", "122801", "Comedy,Drama,Romance", "105", "movie", "https://www.imdb.com/title/tt33071426/", "R", "A happily-engaged couple is put to the test when an unexpected turn sends their wedding week off the rails.", "https://m.media-amazon.com/images/M/MV5BMTcwOGZhYmItYTg3ZS00NjUwLWJiMmQtMjU5YjEwYWY0NmNkXkEyXkFqcGc@._V1_QL75_UX380_CR0,16,380,562_.jpg", "Kristoffer Borgli", "Kristoffer Borgli", "Zendaya, Robert Pattinson, Alana Haim", "7 nominations total", "$48,062,006", "United States", "English", "76%", "59/100"
"11", "Masters of the Universe", "2026", "6.4", "118124", "Action,Adventure,Fantasy", "140", "movie", "https://www.imdb.com/title/tt0427340/", "PG-13", "Prince Adam discovers that the strange memories shaping his life are real when the lost Sword of Power resurfaces, forcing him to return to Eternia and challenge the tyrant who shattered his family and kingdom.", "https://m.media-amazon.com/images/M/MV5BMTJjYTFkM2EtZjBmNy00OTk2LTg0NTAtNzYxYzlmNjhkMzQ5XkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg", "Travis Knight", "Chris Butler, Aaron Nee, Adam Nee", "Nicholas Galitzine, Camila Mendes, Idris Elba", "6 nominations total", "$64,830,245", "United States, Australia, Canada, Iceland", "English", "", "52/100"
"12", "War Machine", "2026", "6.3", "117380", "Action,Sci-Fi,Thriller", "106", "movie", "https://www.imdb.com/title/tt15940132/", "R", "Follow the final recruits of a grueling special ops boot camp who encounter a mysterious deadly force.", "https://m.media-amazon.com/images/M/MV5BMmM1ZTc5ZTYtOTM2My00MjBmLWE5NzktYzkyYzdlYWE3ZDAzXkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg", "Patrick Hughes", "Patrick Hughes, James Beaufort", "Alan Ritchson, Stephan James, Blake Richardson", "1 nomination total", "", "United Kingdom, Australia, New Zealand, United States", "English", "66%", "54/100"
"13", "The Devil Wears Prada 2", "2026", "6.3", "110999", "Comedy,Drama", "119", "movie", "https://www.imdb.com/title/tt33612209/", "PG-13", "Andy Sachs reunites with Miranda Priestly as they navigate their careers amid the decline of traditional magazine publishing.", "https://m.media-amazon.com/images/M/MV5BZmM3ZDU3ODItZmY5Yi00OTQ2LWE5OTctZTA5NDBhMWJkOGY3XkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg", "David Frankel", "Lauren Weisberger, Aline Brosh McKenna", "Meryl Streep, Anne Hathaway, Emily Blunt", "2 wins & 4 nominations total", "$220,556,651", "United States", "English, Italian, French", "78%", "63/100"
"14", "The Sheep Detectives", "2026", "7.4", "109646", "Comedy,Family,Mystery", "109", "movie", "https://www.imdb.com/title/tt32565993/", "PG", "Every night a shepherd reads aloud a murder mystery, pretending his sheep can understand. When he is found dead, the sheep realize at once that it was a murder and think they know everything about how to go about solving it.", "https://m.media-amazon.com/images/M/MV5BNTFmZWI4YmMtNmQ0ZC00ZGQwLTk1OWEtZjAyZmIzOGY0MGFiXkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg", "Kyle Balda", "Craig Mazin, Leonie Swann", "Hugh Jackman, Brett Goldstein, Patrick Stewart", "1 win total", "$66,078,506", "United Kingdom, United States", "English", "95%", "72/100"
"15", "Apex", "2026", "6.1", "108457", "Action,Thriller", "95", "movie", "https://www.imdb.com/title/tt16431404/", "R", "A mountain climber haunted by a fatal decision in Norway retreats to the Australian wilderness for isolation. Her journey turns into a desperate hunt when a deceptive local targets her as his next ritualistic prey in the bush.", "https://m.media-amazon.com/images/M/MV5BNjUzODE2ZWYtMDdiMS00ZTA0LWI4MzEtNDkyODNiNmIwMWY1XkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg", "Baltasar Kormákur", "Jeremy Robbins", "Charlize Theron, Taron Egerton, Eric Bana", "", "", "United States, Australia, Iceland", "English", "68%", "58/100"
